"negative" "positive"
"110" 0.501 0.499
"111" 0.497 0.503
"112" 0.477 0.523
"113" 0.489 0.511
"114" 0.546 0.454
"115" 0.562 0.438
"116" 0.6 0.4
"117" 0.635 0.365
"118" 0.744 0.256
"119" 0.775 0.225
"120" 0.816 0.184
"121" 0.767 0.233
"122" 0.784 0.216
"123" 0.786 0.214
"124" 0.775 0.225
"125" 0.783 0.217
"126" 0.782 0.218
"127" 0.787 0.213
"128" 0.755 0.245
"129" 0.788 0.212
"130" 0.767 0.233
"131" 0.774 0.226
"132" 0.784 0.216
"133" 0.794 0.206
"134" 0.804 0.196
"135" 0.813 0.187
"136" 0.809 0.191
"137" 0.813 0.187
"138" 0.771 0.229
"139" 0.768 0.232
"140" 0.769 0.231
"141" 0.737 0.263
"142" 0.768 0.232
"143" 0.769 0.231
"144" 0.799 0.201
"145" 0.806 0.194
"146" 0.827 0.173
"147" 0.807 0.193
"148" 0.831 0.169
"149" 0.828 0.172
"150" 0.797 0.203
"151" 0.772 0.228
"152" 0.761 0.239
"153" 0.948 0.052
"154" 0.931 0.069
"155" 0.901 0.099
"156" 0.897 0.103
"157" 0.881 0.119
"158" 0.877 0.123
"159" 0.888 0.112
"160" 0.878 0.122
"161" 0.88 0.12
"162" 0.886 0.114
"163" 0.867 0.133
"164" 0.856 0.144
"165" 0.866 0.134
"166" 0.871 0.129
"167" 0.884 0.116
"168" 0.866 0.134
"169" 0.866 0.134
"170" 0.873 0.127
"171" 0.863 0.137
"172" 0.861 0.139
"173" 0.852 0.148
"174" 0.886 0.114
"175" 0.867 0.133
"176" 0.872 0.128
"177" 0.879 0.121
"178" 0.881 0.119
"179" 0.884 0.116
"180" 0.882 0.118
"181" 0.899 0.101
"182" 0.887 0.113
"183" 0.873 0.127
"184" 0.865 0.135
"185" 0.869 0.131
"186" 0.881 0.119
"187" 0.844 0.156
"188" 0.861 0.139
"189" 0.85 0.15
"190" 0.851 0.149
"191" 0.855 0.145
"192" 0.849 0.151
"193" 0.837 0.163
"194" 0.815 0.185
"195" 0.815 0.185
"196" 0.782 0.218
"197" 0.774 0.226
"198" 0.761 0.239
"199" 0.724 0.276
"200" 0.715 0.285
"201" 0.703 0.297
"202" 0.693 0.307
"203" 0.701 0.299
"204" 0.687 0.313
"205" 0.702 0.298
"206" 0.653 0.347
"207" 0.68 0.32
"208" 0.695 0.305
"209" 0.711 0.289
"210" 0.753 0.247
"211" 0.684 0.316
"212" 0.715 0.285
"213" 0.719 0.281
"214" 0.719 0.281
"215" 0.676 0.324
"216" 0.664 0.336
"217" 0.631 0.369
"218" 0.636 0.364
"219" 0.548 0.452
"220" 0.565 0.435
"221" 0.545 0.455
"222" 0.534 0.466
"223" 0.578 0.422
"224" 0.559 0.441
"225" 0.589 0.411
"226" 0.579 0.421
"227" 0.619 0.381
"228" 0.633 0.367
"229" 0.625 0.375
"230" 0.592 0.408
"231" 0.577 0.423
"232" 0.64 0.36
"233" 0.701 0.299
"234" 0.72 0.28
"235" 0.719 0.281
"236" 0.626 0.374
"237" 0.608 0.392
"238" 0.573 0.427
"239" 0.604 0.396
"240" 0.652 0.348
"241" 0.706 0.294
"242" 0.74 0.26
"243" 0.684 0.316
"244" 0.617 0.383
"245" 0.593 0.407
"246" 0.558 0.442
"247" 0.567 0.433
"248" 0.606 0.394
"249" 0.605 0.395
"250" 0.614 0.386
"251" 0.61 0.39
"252" 0.657 0.343
"253" 0.69 0.31
"254" 0.787 0.213
"255" 0.81 0.19
"256" 0.8 0.2
"257" 0.818 0.182
"258" 0.789 0.211
"259" 0.825 0.175
"260" 0.855 0.145
"261" 0.825 0.175
"262" 0.847 0.153
"263" 0.846 0.154
"264" 0.824 0.176
"265" 0.832 0.168
"266" 0.833 0.167
"267" 0.805 0.195
"268" 0.815 0.185
"269" 0.764 0.236
"270" 0.818 0.182
"271" 0.765 0.235
"272" 0.779 0.221
"273" 0.768 0.232
"274" 0.785 0.215
"275" 0.8 0.2
"276" 0.816 0.184
"277" 0.827 0.173
"278" 0.828 0.172
"279" 0.817 0.183
"280" 0.848 0.152
"281" 0.825 0.175
"282" 0.812 0.188
"283" 0.832 0.168
"284" 0.818 0.182
"285" 0.816 0.184
"286" 0.806 0.194
"287" 0.776 0.224
"288" 0.767 0.233
"289" 0.763 0.237
"290" 0.732 0.268
"291" 0.728 0.272
"292" 0.731 0.269
"293" 0.66 0.34
"294" 0.647 0.353
"295" 0.942 0.058
"296" 0.917 0.083
"297" 0.878 0.122
"298" 0.872 0.128
"299" 0.861 0.139
"300" 0.859 0.141
"301" 0.894 0.106
"302" 0.877 0.123
"303" 0.877 0.123
"304" 0.876 0.124
"305" 0.862 0.138
"306" 0.883 0.117
"307" 0.903 0.097
"308" 0.905 0.095
"309" 0.893 0.107
"310" 0.92 0.08
"311" 0.927 0.073
"312" 0.879 0.121
"313" 0.884 0.116
"314" 0.889 0.111
"315" 0.868 0.132
"316" 0.864 0.136
"317" 0.817 0.183
"318" 0.812 0.188
"319" 0.801 0.199
"320" 0.786 0.214
"321" 0.793 0.207
"322" 0.817 0.183
"323" 0.825 0.175
"324" 0.797 0.203
"325" 0.785 0.215
"326" 0.791 0.209
"327" 0.743 0.257
"328" 0.751 0.249
"329" 0.779 0.221
"330" 0.74 0.26
"331" 0.778 0.222
"332" 0.761 0.239
"333" 0.755 0.245
"334" 0.71 0.29
"335" 0.725 0.275
"336" 0.704 0.296
"337" 0.755 0.245
"338" 0.794 0.206
"339" 0.77 0.23
"340" 0.744 0.256
"341" 0.69 0.31
"342" 0.707 0.293
"343" 0.728 0.272
"344" 0.783 0.217
"345" 0.783 0.217
"346" 0.77 0.23
"347" 0.744 0.256
"348" 0.774 0.226
"349" 0.788 0.212
"350" 0.777 0.223
"351" 0.767 0.233
"352" 0.785 0.215
"353" 0.752 0.248
"354" 0.689 0.311
"355" 0.708 0.292
"356" 0.928 0.072
"357" 0.892 0.108
"358" 0.874 0.126
"359" 0.856 0.144
"360" 0.825 0.175
"361" 0.833 0.167
"362" 0.832 0.168
"363" 0.793 0.207
"364" 0.818 0.182
"365" 0.821 0.179
"366" 0.816 0.184
"367" 0.836 0.164
"368" 0.823 0.177
"369" 0.825 0.175
"370" 0.781 0.219
"371" 0.739 0.261
"372" 0.715 0.285
"373" 0.708 0.292
"374" 0.72 0.28
"375" 0.686 0.314
"376" 0.662 0.338
"377" 0.646 0.354
"378" 0.683 0.317
"379" 0.686 0.314
"380" 0.744 0.256
"381" 0.677 0.323
"382" 0.656 0.344
"383" 0.633 0.367
"384" 0.637 0.363
"385" 0.606 0.394
"386" 0.621 0.379
"387" 0.605 0.395
"388" 0.631 0.369
"389" 0.614 0.386
"390" 0.556 0.444
"391" 0.552 0.448
"392" 0.527 0.473
"393" 0.52 0.48
"394" 0.576 0.424
"395" 0.608 0.392
"396" 0.635 0.365
"397" 0.71 0.29
"398" 0.783 0.217
"399" 0.824 0.176
"400" 0.828 0.172
"401" 0.83 0.17
"402" 0.786 0.214
"403" 0.754 0.246
"404" 0.702 0.298
"405" 0.67 0.33
"406" 0.635 0.365
"407" 0.629 0.371
"408" 0.601 0.399
"409" 0.602 0.398
"410" 0.677 0.323
"411" 0.676 0.324
"412" 0.697 0.303
"413" 0.687 0.313
"414" 0.718 0.282
"415" 0.71 0.29
"416" 0.928 0.072
"417" 0.902 0.098
"418" 0.871 0.129
"419" 0.878 0.122
"420" 0.872 0.128
"421" 0.837 0.163
"422" 0.869 0.131
"423" 0.862 0.138
"424" 0.846 0.154
"425" 0.834 0.166
"426" 0.825 0.175
"427" 0.818 0.182
"428" 0.821 0.179
"429" 0.816 0.184
"430" 0.754 0.246
"431" 0.67 0.33
"432" 0.637 0.363
"433" 0.673 0.327
"434" 0.701 0.299
"435" 0.715 0.285
"436" 0.672 0.328
"437" 0.651 0.349
"438" 0.587 0.413
"439" 0.604 0.396
"440" 0.537 0.463
"441" 0.551 0.449
"442" 0.594 0.406
"443" 0.585 0.415
"444" 0.63 0.37
"445" 0.576 0.424
"446" 0.615 0.385
"447" 0.61 0.39
"448" 0.576 0.424
"449" 0.609 0.391
"450" 0.627 0.373
"451" 0.669 0.331
"452" 0.732 0.268
"453" 0.771 0.229
"454" 0.841 0.159
"455" 0.817 0.183
"456" 0.845 0.155
"457" 0.815 0.185
"458" 0.812 0.188
"459" 0.793 0.207
"460" 0.746 0.254
"461" 0.683 0.317
"462" 0.615 0.385
"463" 0.615 0.385
"464" 0.572 0.428
"465" 0.449 0.551
"466" 0.468 0.532
"467" 0.41 0.59
"468" 0.449 0.551
"469" 0.42 0.58
"470" 0.51 0.49
"471" 0.92 0.08
"472" 0.913 0.087
"473" 0.9 0.1
"474" 0.879 0.121
"475" 0.873 0.127
"476" 0.86 0.14
"477" 0.85 0.15
"478" 0.88 0.12
"479" 0.863 0.137
"480" 0.837 0.163
"481" 0.846 0.154
"482" 0.86 0.14
"483" 0.835 0.165
"484" 0.842 0.158
"485" 0.841 0.159
"486" 0.799 0.201
"487" 0.818 0.182
"488" 0.779 0.221
"489" 0.811 0.189
"490" 0.793 0.207
"491" 0.794 0.206
"492" 0.776 0.224
"493" 0.777 0.223
"494" 0.76 0.24
"495" 0.777 0.223
"496" 0.743 0.257
"497" 0.791 0.209
"498" 0.718 0.282
"499" 0.711 0.289
"500" 0.688 0.312
"501" 0.672 0.328
"502" 0.626 0.374
"503" 0.663 0.337
"504" 0.659 0.341
"505" 0.648 0.352
"506" 0.675 0.325
"507" 0.69 0.31
"508" 0.694 0.306
"509" 0.71 0.29
"510" 0.728 0.272
"511" 0.71 0.29
"512" 0.698 0.302
"513" 0.688 0.312
"514" 0.677 0.323
"515" 0.703 0.297
"516" 0.785 0.215
"517" 0.789 0.211
"518" 0.796 0.204
"519" 0.774 0.226
"520" 0.751 0.249
"521" 0.728 0.272
"522" 0.87 0.13
"523" 0.858 0.142
"524" 0.849 0.151
"525" 0.818 0.182
"526" 0.778 0.222
"527" 0.786 0.214
"528" 0.777 0.223
"529" 0.782 0.218
"530" 0.738 0.262
"531" 0.739 0.261
"532" 0.719 0.281
"533" 0.747 0.253
"534" 0.753 0.247
"535" 0.809 0.191
"536" 0.821 0.179
"537" 0.846 0.154
"538" 0.843 0.157
"539" 0.825 0.175
"540" 0.78 0.22
"541" 0.731 0.269
"542" 0.697 0.303
"543" 0.625 0.375
"544" 0.557 0.443
"545" 0.489 0.511
"546" 0.456 0.544
"547" 0.426 0.574
"548" 0.435 0.565
"549" 0.407 0.593
"550" 0.38 0.62
"551" 0.403 0.597
"552" 0.348 0.652
"553" 0.365 0.635
"554" 0.354 0.646
"555" 0.419 0.581
"556" 0.392 0.608
"557" 0.422 0.578
"558" 0.514 0.486
"559" 0.563 0.437
"560" 0.63 0.37
"561" 0.672 0.328
"562" 0.667 0.333
"563" 0.662 0.338
"564" 0.693 0.307
"565" 0.729 0.271
"566" 0.729 0.271
"567" 0.784 0.216
"568" 0.804 0.196
"569" 0.847 0.153
"570" 0.817 0.183
"571" 0.852 0.148
"572" 0.85 0.15
"573" 0.854 0.146
"574" 0.87 0.13
"575" 0.837 0.163
"576" 0.825 0.175
"577" 0.786 0.214
"578" 0.733 0.267
"579" 0.677 0.323
"580" 0.666 0.334
"581" 0.556 0.444
"582" 0.558 0.442
"583" 0.588 0.412
"584" 0.58 0.42
"585" 0.57 0.43
"586" 0.543 0.457
"587" 0.527 0.473
"588" 0.56 0.44
"589" 0.556 0.444
"590" 0.605 0.395
"591" 0.688 0.312
"592" 0.713 0.287
"593" 0.716 0.284
"594" 0.702 0.298
"595" 0.677 0.323
"596" 0.703 0.297
"597" 0.688 0.312
"598" 0.67 0.33
"599" 0.571 0.429
"600" 0.58 0.42
"601" 0.617 0.383
"602" 0.627 0.373
"603" 0.688 0.312
"604" 0.701 0.299
"605" 0.739 0.261
"606" 0.737 0.263
"607" 0.746 0.254
"608" 0.745 0.255
"609" 0.741 0.259
"610" 0.738 0.262
"611" 0.712 0.288
"612" 0.712 0.288
"613" 0.716 0.284
"614" 0.654 0.346
"615" 0.659 0.341
"616" 0.683 0.317
"617" 0.672 0.328
"618" 0.694 0.306
"619" 0.665 0.335
"620" 0.687 0.313
"621" 0.737 0.263
"622" 0.748 0.252
"623" 0.76 0.24
"624" 0.719 0.281
"625" 0.759 0.241
"626" 0.798 0.202
"627" 0.801 0.199
"628" 0.798 0.202
"629" 0.755 0.245
"630" 0.731 0.269
"631" 0.699 0.301
"632" 0.72 0.28
"633" 0.701 0.299
"634" 0.731 0.269
"635" 0.744 0.256
"636" 0.742 0.258
"637" 0.726 0.274
"638" 0.774 0.226
"639" 0.769 0.231
"640" 0.784 0.216
"641" 0.802 0.198
"642" 0.818 0.182
"643" 0.808 0.192
"644" 0.763 0.237
"645" 0.757 0.243
"646" 0.751 0.249
"647" 0.762 0.238
"648" 0.799 0.201
"649" 0.785 0.215
"650" 0.78 0.22
"651" 0.755 0.245
"652" 0.77 0.23
"653" 0.736 0.264
"654" 0.724 0.276
"655" 0.746 0.254
"656" 0.739 0.261
"657" 0.758 0.242
"658" 0.75 0.25
"659" 0.761 0.239
"660" 0.768 0.232
"661" 0.764 0.236
"662" 0.745 0.255
"663" 0.695 0.305
"664" 0.668 0.332
"665" 0.682 0.318
"666" 0.725 0.275
"667" 0.752 0.248
"668" 0.803 0.197
"669" 0.811 0.189
"670" 0.8 0.2
"671" 0.787 0.213
"672" 0.801 0.199
"673" 0.796 0.204
"674" 0.752 0.248
"675" 0.71 0.29
"676" 0.715 0.285
"677" 0.686 0.314
"678" 0.684 0.316
"679" 0.694 0.306
"680" 0.752 0.248
"681" 0.773 0.227
"682" 0.762 0.238
"683" 0.781 0.219
"684" 0.799 0.201
"685" 0.82 0.18
"686" 0.817 0.183
"687" 0.818 0.182
"688" 0.805 0.195
"689" 0.797 0.203
"690" 0.788 0.212
"691" 0.772 0.228
"692" 0.697 0.303
"693" 0.662 0.338
"694" 0.695 0.305
"695" 0.717 0.283
"696" 0.702 0.298
"697" 0.713 0.287
"698" 0.683 0.317
"699" 0.673 0.327
"700" 0.661 0.339
"701" 0.682 0.318
"702" 0.679 0.321
"703" 0.712 0.288
"704" 0.73 0.27
"705" 0.7 0.3
"706" 0.661 0.339
"707" 0.654 0.346
"708" 0.579 0.421
"709" 0.566 0.434
"710" 0.55 0.45
"711" 0.551 0.449
"712" 0.593 0.407
"713" 0.579 0.421
"714" 0.647 0.353
"715" 0.666 0.334
"716" 0.678 0.322
"717" 0.697 0.303
"718" 0.756 0.244
"719" 0.743 0.257
"720" 0.753 0.247
"721" 0.771 0.229
"722" 0.728 0.272
"723" 0.705 0.295
"724" 0.626 0.374
"725" 0.544 0.456
"726" 0.495 0.505
"727" 0.462 0.538
"728" 0.413 0.587
"729" 0.4 0.6
"730" 0.359 0.641
"731" 0.387 0.613
"732" 0.403 0.597
"733" 0.466 0.534
"734" 0.534 0.466
"735" 0.6 0.4
"736" 0.577 0.423
"737" 0.561 0.439
"738" 0.473 0.527
"739" 0.432 0.568
"740" 0.469 0.531
"741" 0.478 0.522
"742" 0.492 0.508
"743" 0.471 0.529
"744" 0.484 0.516
"745" 0.561 0.439
"746" 0.599 0.401
"747" 0.687 0.313
"748" 0.754 0.246
"749" 0.709 0.291
"750" 0.684 0.316
"751" 0.635 0.365
"752" 0.616 0.384
"753" 0.444 0.556
"754" 0.403 0.597
"755" 0.364 0.636
"756" 0.375 0.625
"757" 0.441 0.559
"758" 0.45 0.55
"759" 0.448 0.552
"760" 0.595 0.405
"761" 0.629 0.371
"762" 0.718 0.282
"763" 0.709 0.291
"764" 0.657 0.343
"765" 0.57 0.43
"766" 0.49 0.51
"767" 0.406 0.594
"768" 0.392 0.608
"769" 0.387 0.613
"770" 0.48 0.52
"771" 0.48 0.52
"772" 0.633 0.367
"773" 0.642 0.358
"774" 0.703 0.297
"775" 0.717 0.283
"776" 0.718 0.282
"777" 0.757 0.243
"778" 0.804 0.196
"779" 0.796 0.204
"780" 0.833 0.167
"781" 0.831 0.169
"782" 0.812 0.188
"783" 0.798 0.202
"784" 0.751 0.249
"785" 0.72 0.28
"786" 0.687 0.313
"787" 0.668 0.332
"788" 0.595 0.405
"789" 0.496 0.504
"790" 0.438 0.562
"791" 0.402 0.598
"792" 0.437 0.563
"793" 0.465 0.535
"794" 0.564 0.436
"795" 0.652 0.348
"796" 0.709 0.291
"797" 0.69 0.31
"798" 0.72 0.28
"799" 0.681 0.319
"800" 0.608 0.392
"801" 0.593 0.407
"802" 0.59 0.41
"803" 0.558 0.442
"804" 0.558 0.442
"805" 0.561 0.439
"806" 0.606 0.394
"807" 0.65 0.35
"808" 0.71 0.29
"809" 0.744 0.256
"810" 0.732 0.268
"811" 0.721 0.279
"812" 0.688 0.312
"813" 0.631 0.369
"814" 0.616 0.384
"815" 0.635 0.365
"816" 0.698 0.302
"817" 0.696 0.304
"818" 0.672 0.328
"819" 0.658 0.342
"820" 0.691 0.309
"821" 0.721 0.279
"822" 0.739 0.261
"823" 0.766 0.234
"824" 0.746 0.254
"825" 0.8 0.2
"826" 0.782 0.218
"827" 0.792 0.208
"828" 0.758 0.242
"829" 0.772 0.228
"830" 0.739 0.261
"831" 0.728 0.272
"832" 0.647 0.353
"833" 0.553 0.447
"834" 0.535 0.465
"835" 0.419 0.581
"836" 0.394 0.606
"837" 0.344 0.656
"838" 0.392 0.608
"839" 0.449 0.551
"840" 0.483 0.517
"841" 0.552 0.448
"842" 0.64 0.36
"843" 0.66 0.34
"844" 0.749 0.251
"845" 0.723 0.277
"846" 0.727 0.273
"847" 0.623 0.377
"848" 0.554 0.446
"849" 0.487 0.513
"850" 0.403 0.597
"851" 0.335 0.665
"852" 0.334 0.666
"853" 0.355 0.645
"854" 0.418 0.582
"855" 0.526 0.474
"856" 0.602 0.398
"857" 0.652 0.348
"858" 0.664 0.336
"859" 0.678 0.322
"860" 0.69 0.31
"861" 0.754 0.246
"862" 0.747 0.253
"863" 0.812 0.188
"864" 0.792 0.208
"865" 0.774 0.226
"866" 0.726 0.274
"867" 0.764 0.236
"868" 0.672 0.328
"869" 0.671 0.329
"870" 0.582 0.418
"871" 0.579 0.421
"872" 0.479 0.521
"873" 0.437 0.563
"874" 0.436 0.564
"875" 0.418 0.582
"876" 0.418 0.582
"877" 0.463 0.537
"878" 0.488 0.512
"879" 0.551 0.449
"880" 0.562 0.438
"881" 0.609 0.391
"882" 0.584 0.416
"883" 0.366 0.634
"884" 0.308 0.692
"885" 0.266 0.734
"886" 0.243 0.757
"887" 0.255 0.745
"888" 0.302 0.698
"889" 0.32 0.68
"890" 0.417 0.583
"891" 0.504 0.496
"892" 0.629 0.371
"893" 0.676 0.324
"894" 0.707 0.293
"895" 0.729 0.271
"896" 0.741 0.259
"897" 0.739 0.261
"898" 0.743 0.257
"899" 0.686 0.314
"900" 0.627 0.373
"901" 0.552 0.448
"902" 0.381 0.619
"903" 0.286 0.714
"904" 0.257 0.743
"905" 0.293 0.707
"906" 0.255 0.745
"907" 0.272 0.728
"908" 0.336 0.664
"909" 0.436 0.564
"910" 0.51 0.49
"911" 0.62 0.38
"912" 0.712 0.288
"913" 0.667 0.333
"914" 0.645 0.355
"915" 0.685 0.315
"916" 0.669 0.331
"917" 0.687 0.313
"918" 0.691 0.309
"919" 0.688 0.312
"920" 0.714 0.286
"921" 0.71 0.29
"922" 0.761 0.239
"923" 0.788 0.212
"924" 0.778 0.222
"925" 0.789 0.211
"926" 0.786 0.214
"927" 0.759 0.241
"928" 0.676 0.324
"929" 0.629 0.371
"930" 0.631 0.369
"931" 0.594 0.406
"932" 0.613 0.387
"933" 0.623 0.377
"934" 0.673 0.327
"935" 0.738 0.262
"936" 0.723 0.277
"937" 0.75 0.25
"938" 0.771 0.229
"939" 0.746 0.254
"940" 0.729 0.271
"941" 0.571 0.429
"942" 0.557 0.443
"943" 0.515 0.485
"944" 0.496 0.504
"945" 0.539 0.461
"946" 0.572 0.428
"947" 0.593 0.407
"948" 0.623 0.377
"949" 0.662 0.338
"950" 0.717 0.283
"951" 0.788 0.212
"952" 0.838 0.162
"953" 0.852 0.148
"954" 0.833 0.167
"955" 0.829 0.171
"956" 0.753 0.247
"957" 0.67 0.33
"958" 0.591 0.409
"959" 0.477 0.523
"960" 0.44 0.56
"961" 0.401 0.599
"962" 0.392 0.608
"963" 0.359 0.641
"964" 0.457 0.543
"965" 0.532 0.468
"966" 0.596 0.404
"967" 0.675 0.325
"968" 0.662 0.338
"969" 0.668 0.332
"970" 0.535 0.465
"971" 0.46 0.54
"972" 0.397 0.603
"973" 0.366 0.634
"974" 0.359 0.641
"975" 0.386 0.614
"976" 0.442 0.558
"977" 0.522 0.478
"978" 0.609 0.391
"979" 0.698 0.302
"980" 0.775 0.225
"981" 0.781 0.219
"982" 0.757 0.243
"983" 0.717 0.283
"984" 0.619 0.381
"985" 0.564 0.436
"986" 0.403 0.597
"987" 0.334 0.666
"988" 0.301 0.699
"989" 0.281 0.719
"990" 0.328 0.672
"991" 0.329 0.671
"992" 0.333 0.667
"993" 0.369 0.631
"994" 0.382 0.618
"995" 0.404 0.596
"996" 0.436 0.564
"997" 0.436 0.564
"998" 0.558 0.442
"999" 0.918 0.082
"1000" 0.901 0.099
"1001" 0.89 0.11
"1002" 0.88 0.12
"1003" 0.87 0.13
"1004" 0.839 0.161
"1005" 0.848 0.152
"1006" 0.836 0.164
"1007" 0.838 0.162
"1008" 0.861 0.139
"1009" 0.861 0.139
"1010" 0.826 0.174
"1011" 0.8 0.2
"1012" 0.796 0.204
"1013" 0.812 0.188
"1014" 0.818 0.182
"1015" 0.794 0.206
"1016" 0.782 0.218
"1017" 0.802 0.198
"1018" 0.749 0.251
"1019" 0.692 0.308
"1020" 0.708 0.292
"1021" 0.689 0.311
"1022" 0.754 0.246
"1023" 0.738 0.262
"1024" 0.731 0.269
"1025" 0.73 0.27
"1026" 0.745 0.255
"1027" 0.766 0.234
"1028" 0.73 0.27
"1029" 0.731 0.269
"1030" 0.705 0.295
"1031" 0.65 0.35
"1032" 0.62 0.38
"1033" 0.611 0.389
"1034" 0.62 0.38
"1035" 0.639 0.361
"1036" 0.623 0.377
"1037" 0.618 0.382
"1038" 0.648 0.352
"1039" 0.672 0.328
"1040" 0.692 0.308
"1041" 0.672 0.328
"1042" 0.711 0.289
"1043" 0.673 0.327
"1044" 0.671 0.329
"1045" 0.681 0.319
"1046" 0.701 0.299
"1047" 0.69 0.31
"1048" 0.684 0.316
"1049" 0.681 0.319
"1050" 0.681 0.319
"1051" 0.666 0.334
"1052" 0.655 0.345
"1053" 0.62 0.38
"1054" 0.621 0.379
"1055" 0.633 0.367
"1056" 0.595 0.405
"1057" 0.607 0.393
"1058" 0.638 0.362
"1059" 0.69 0.31
"1060" 0.709 0.291
"1061" 0.727 0.273
"1062" 0.756 0.244
"1063" 0.785 0.215
"1064" 0.801 0.199
"1065" 0.796 0.204
"1066" 0.827 0.173
"1067" 0.854 0.146
"1068" 0.816 0.184
"1069" 0.82 0.18
"1070" 0.838 0.162
"1071" 0.823 0.177
"1072" 0.828 0.172
"1073" 0.824 0.176
"1074" 0.8 0.2
"1075" 0.775 0.225
"1076" 0.762 0.238
"1077" 0.68 0.32
"1078" 0.664 0.336
"1079" 0.7 0.3
"1080" 0.74 0.26
"1081" 0.739 0.261
"1082" 0.785 0.215
"1083" 0.751 0.249
"1084" 0.796 0.204
"1085" 0.765 0.235
"1086" 0.749 0.251
"1087" 0.642 0.358
"1088" 0.628 0.372
"1089" 0.634 0.366
"1090" 0.625 0.375
"1091" 0.598 0.402
"1092" 0.6 0.4
"1093" 0.659 0.341
"1094" 0.683 0.317
"1095" 0.747 0.253
"1096" 0.782 0.218
"1097" 0.758 0.242
"1098" 0.705 0.295
"1099" 0.668 0.332
"1100" 0.604 0.396
"1101" 0.603 0.397
"1102" 0.616 0.384
"1103" 0.644 0.356
"1104" 0.646 0.354
"1105" 0.628 0.372
"1106" 0.7 0.3
"1107" 0.711 0.289
"1108" 0.676 0.324
"1109" 0.595 0.405
"1110" 0.61 0.39
"1111" 0.585 0.415
"1112" 0.601 0.399
"1113" 0.635 0.365
"1114" 0.676 0.324
"1115" 0.695 0.305
"1116" 0.699 0.301
"1117" 0.704 0.296
"1118" 0.743 0.257
"1119" 0.723 0.277
"1120" 0.79 0.21
"1121" 0.806 0.194
"1122" 0.786 0.214
"1123" 0.752 0.248
"1124" 0.753 0.247
"1125" 0.759 0.241
"1126" 0.73 0.27
"1127" 0.748 0.252
"1128" 0.764 0.236
"1129" 0.776 0.224
"1130" 0.765 0.235
"1131" 0.784 0.216
"1132" 0.78 0.22
"1133" 0.788 0.212
"1134" 0.771 0.229
"1135" 0.761 0.239
"1136" 0.684 0.316
"1137" 0.657 0.343
"1138" 0.645 0.355
"1139" 0.682 0.318
"1140" 0.707 0.293
"1141" 0.695 0.305
"1142" 0.755 0.245
"1143" 0.744 0.256
"1144" 0.786 0.214
"1145" 0.77 0.23
"1146" 0.798 0.202
"1147" 0.788 0.212
"1148" 0.75 0.25
"1149" 0.648 0.352
"1150" 0.618 0.382
"1151" 0.627 0.373
"1152" 0.664 0.336
